# call_index  Electronic(H)         Repulsive(H)          Total(H)
     252        -86.7316359896          1.0916615489        -85.6399744407
     253        -86.5406762376          0.9281543882        -85.6125218494
     254        -86.3726047544          0.7870670917        -85.5855376627
     255        -86.2815797283          0.6983926300        -85.5831870983
     256        -86.2973523652          0.6848260023        -85.6125263629
     257        -86.4216401320          0.7790821282        -85.6425580038
     258        -86.6197136093          0.9908575487        -85.6288560606
     259        -86.8133867481          1.2154777943        -85.5979089538
     260        -86.9181544286          1.3120615344        -85.6060928942
     261        -86.8987637727          1.2549120143        -85.6438517585
     262        -86.7756452247          1.1288441086        -85.6468011161
     263        -86.5861483313          0.9672813910        -85.6188669403
     264        -86.3819073843          0.7882498894        -85.5936574949
     265        -86.2236458789          0.6395436356        -85.5841022433
     266        -86.1551581720          0.5519992654        -85.6031589066
     267        -86.1952156854          0.5600219414        -85.6351937440
     268        -86.3311822177          0.6919277406        -85.6392544772
     269        -86.5092795102          0.9023144810        -85.6069650292
     270        -86.6482652458          1.0554855564        -85.5927796893
     271        -86.6899058980          1.0696687875        -85.6202371105
     272        -86.6301574508          0.9833888768        -85.6467685741
     273        -86.5013032244          0.8723243730        -85.6289788514
     274        -86.3430558359          0.7418027960        -85.6012530399
     275        -86.2084747948          0.6221359532        -85.5863388416
     276        -86.1466558773          0.5520132066        -85.5946426706
     277        -86.1856059096          0.5648496119        -85.6207562977
     278        -86.3240074659          0.6887139235        -85.6352935424
     279        -86.5238143707          0.9101607963        -85.6136535745
     280        -86.7138236270          1.1194153106        -85.5944083164
     281        -86.8257896720          1.2195860291        -85.6062036429
     282        -86.8280589394          1.1883653302        -85.6396936093
     283        -86.7388350088          1.0991216722        -85.6397133366
     284        -86.5918737450          0.9816245551        -85.6102491899
     285        -86.4290162647          0.8379853729        -85.5910308917
     286        -86.3040705633          0.7130391378        -85.5910314256
     287        -86.2585710595          0.6469801818        -85.6115908777
     288        -86.3089837767          0.6759962050        -85.6329875717
     289        -86.4406972022          0.8147950901        -85.6259021121
     290        -86.6005342704          0.9978483099        -85.6026859604
     291        -86.7208923739          1.1230179921        -85.5978743819
     292        -86.7543899815          1.1301867901        -85.6242031914
     293        -86.6972741370          1.0497069979        -85.6475671391
     294        -86.5800564684          0.9517097022        -85.6283467662
     295        -86.4358739454          0.8375262307        -85.5983477147
     296        -86.3101623145          0.7234382526        -85.5867240619
     297        -86.2483285656          0.6501708409        -85.5981577247
     298        -86.2756855603          0.6534307470        -85.6222548133
     299        -86.3918141571          0.7606190164        -85.6311951407
     300        -86.5603349862          0.9497761940        -85.6105587922
     301        -86.7172846258          1.1197492667        -85.5975353591
     302        -86.8047884793          1.1940962646        -85.6106922147
     303        -86.7955219985          1.1543447930        -85.6411772055
     304        -86.7044676465          1.0575881865        -85.6468794600
     305        -86.5634866835          0.9411212399        -85.6223654436
     306        -86.4101332640          0.8076184128        -85.6025148512
     307        -86.2919143411          0.6926966165        -85.5992177246
     308        -86.2455864154          0.6314701318        -85.6141162836
     309        -86.2860613885          0.6563631559        -85.6296982326
     310        -86.4005403355          0.7802444094        -85.6202959261
     311        -86.5410855861          0.9405001846        -85.6005854015
     312        -86.6482558587          1.0500642531        -85.5981916056
     313        -86.6809124743          1.0617622364        -85.6191502379
     314        -86.6322928237          0.9919160046        -85.6403768191
     315        -86.5290609451          0.9000924233        -85.6289685218
     316        -86.4046023228          0.7994391387        -85.6051631840
     317        -86.2977883302          0.7018612448        -85.5959270854
     318        -86.2479316756          0.6416257928        -85.6063058827
     319        -86.2770244374          0.6513869086        -85.6256375288
     320        -86.3840957764          0.7533119812        -85.6307837952
     321        -86.5344761815          0.9195636212        -85.6149125603
     322        -86.6717008320          1.0650995801        -85.6066012520
     323        -86.7483144078          1.1348851397        -85.6134292681
     324        -86.7386147029          1.1023280276        -85.6362866754
     325        -86.6553313739          1.0118742237        -85.6434571502
     326        -86.5308573318          0.9094791821        -85.6213781497
     327        -86.3997523491          0.7977453077        -85.6020070413
     328        -86.3028530947          0.7010586643        -85.6017944304
     329        -86.2737349186          0.6553142582        -85.6184206604
     330        -86.3252747223          0.6935003495        -85.6317743728
